condition,observations,digit_3,probability,difference,p_value,previous_digit
ALL H3 SIGNALS,5004,547,0.10931254996003198,0.009312549960031974,0.01577958760739954,
PREVIOUS DIGIT 0,502,64,0.12749003984063745,0.027490039840637442,0.026946898754870958,0
PREVIOUS DIGIT 1,545,60,0.11009174311926606,0.010091743119266056,0.23474520896539597,1
PREVIOUS DIGIT 2,538,47,0.08736059479553904,-0.012639405204460968,0.8535349544181388,2
PREVIOUS DIGIT 3,510,57,0.11176470588235295,0.011764705882352941,0.2064757790300684,3
PREVIOUS DIGIT 4,465,60,0.12903225806451613,0.02903225806451612,0.025314477876485938,4
PREVIOUS DIGIT 5,481,53,0.1101871101871102,0.010187110187110188,0.2482654934938469,5
PREVIOUS DIGIT 6,478,47,0.09832635983263599,-0.0016736401673640156,0.5708376452423263,6
PREVIOUS DIGIT 7,484,56,0.11570247933884298,0.015702479338842973,0.14154348079787463,7
PREVIOUS DIGIT 8,481,49,0.10187110187110188,0.0018711018711018712,0.4677196408107328,8
PREVIOUS DIGIT 9,520,54,0.10384615384615385,0.0038461538461538464,0.4060341513727789,9
PREVIOUS DIGIT 0-2,1585,171,0.10788643533123028,0.007886435331230277,0.1574953300485098,0-2
PREVIOUS DIGIT 3-6,1934,217,0.11220268872802482,0.01220268872802481,0.04169955584718022,3-6
PREVIOUS DIGIT 7-9,1485,159,0.10707070707070707,0.007070707070707061,0.19269848014175708,7-9
