time,symbol,price,Last digit,price_delta,step_volatility,next_digit,h3_signal,target_digit,correct_prediction
1786201288,R_100,604.89,9,-0.2300000000000182,0.14006347767272412,5,1,3,0
1786201294,R_100,604.79,9,-0.10000000000002274,0.1232702541392522,1,1,3,0
1786201406,R_100,606.93,3,-0.12000000000000455,0.10024414640709425,6,1,3,0
1786201414,R_100,606.83,3,-0.12999999999999545,0.06419588079551654,0,1,3,0
1786201418,R_100,606.74,4,-0.15999999999996817,0.07748835037889587,6,1,3,0
1786201426,R_100,606.74,4,-0.11000000000001364,0.09825703254446524,6,1,3,0
1786201428,R_100,606.46,6,-0.2799999999999727,0.12605113600791554,1,1,3,0
1786201430,R_100,606.31,1,-0.15000000000009095,0.12529520696694085,2,1,3,0
1786201542,R_100,606.96,6,-0.15999999999996817,0.13144073442681822,3,1,3,1
1786201588,R_100,608.0,0,-0.13999999999998636,0.08372574275572665,5,1,3,0
1786201592,R_100,608.04,4,-0.11000000000001364,0.09077444574327322,7,1,3,0
1786201610,R_100,608.73,3,-0.12999999999999545,0.14535779610635594,8,1,3,0
1786201626,R_100,608.93,3,-0.12999999999999545,0.11469767022723974,6,1,3,0
1786201636,R_100,609.3,0,-0.12000000000000455,0.11146000777557516,3,1,3,1
1786201706,R_100,610.21,1,-0.2899999999999636,0.1288797889507693,7,1,3,0
1786201714,R_100,610.01,1,-0.15999999999996817,0.11213087591439544,5,1,3,0
1786201718,R_100,609.92,2,-0.2300000000000182,0.13331666562485364,6,1,3,0
1786201720,R_100,609.76,6,-0.15999999999996817,0.1368697677842994,5,1,3,0
1786201724,R_100,609.6,0,-0.14999999999997726,0.1325812120089912,2,1,3,0
1786201732,R_100,609.75,5,-0.13999999999998636,0.14436065946093585,6,1,3,0
1786201746,R_100,610.11,1,-0.15999999999996817,0.12296792716440118,7,1,3,0
1786201752,R_100,610.11,1,-0.16999999999995907,0.12615686884015737,5,1,3,0
1786201756,R_100,609.81,1,-0.2400000000000091,0.1445337330867703,0,1,3,0
1786201770,R_100,609.29,9,-0.19000000000005457,0.13067772062086114,2,1,3,0
1786201836,R_100,609.86,6,-0.16999999999995907,0.11652848960184961,3,1,3,1
1786201840,R_100,609.81,1,-0.12000000000000455,0.12284136111260796,0,1,3,0
1786201842,R_100,609.7,0,-0.10999999999989996,0.12901765598378861,1,1,3,0
1786201848,R_100,609.69,9,-0.16999999999995907,0.13548267621931107,6,1,3,0
1786201854,R_100,609.66,6,-0.14999999999997726,0.11547486498989316,0,1,3,0
1786201862,R_100,609.4,0,-0.14999999999997726,0.10317191693691512,9,1,3,0
1786201864,R_100,609.19,9,-0.2099999999999227,0.10454132622500513,9,1,3,0
1786201868,R_100,609.23,3,-0.15999999999996817,0.1290305734656624,8,1,3,0
1786201874,R_100,609.21,1,-0.12999999999999545,0.1357489512952989,8,1,3,0
1786201896,R_100,609.16,6,-0.12999999999999545,0.11802071381280609,8,1,3,0
1786201910,R_100,608.83,3,-0.34999999999990905,0.13535549900575075,2,1,3,0
1786201914,R_100,608.75,5,-0.16999999999995907,0.14198591479433137,2,1,3,0
1786201982,R_100,608.27,7,-0.17000000000007276,0.1308136927933168,5,1,3,0
1786201988,R_100,607.87,7,-0.11000000000001364,0.12263767773405648,1,1,3,0
1786202002,R_100,608.0,0,-0.11000000000001364,0.12347289401144003,2,1,3,0
1786202064,R_100,608.91,1,-0.16000000000008185,0.11650464940650648,8,1,3,0
1786202066,R_100,608.78,8,-0.12999999999999545,0.12175111224679853,1,1,3,0
1786202092,R_100,608.26,6,-0.18000000000006366,0.10053191864610818,6,1,3,0
1786202104,R_100,608.11,1,-0.11000000000001364,0.07578478299326766,1,1,3,0
1786202106,R_100,607.91,1,-0.20000000000004547,0.0889506729723093,5,1,3,0
1786202118,R_100,608.16,6,-0.12000000000000455,0.12375603240069266,5,1,3,0
1786202120,R_100,608.05,5,-0.11000000000001364,0.12347289401144208,9,1,3,0
1786202128,R_100,608.35,5,-0.12999999999999545,0.1347425528760575,5,1,3,0
1786202158,R_100,607.84,4,-0.12999999999999545,0.1422087667246312,9,1,3,0
1786202190,R_100,606.91,1,-0.12000000000000455,0.1279279311001209,7,1,3,0
1786202204,R_100,607.15,5,-0.18000000000006366,0.10254538290707886,3,1,3,1
1786202206,R_100,606.83,3,-0.31999999999993634,0.143561833368061,7,1,3,0
1786202214,R_100,606.18,8,-0.2300000000000182,0.14448760039071654,1,1,3,0
1786202220,R_100,605.46,6,-0.2300000000000182,0.1363166248930147,9,1,3,0
1786202272,R_100,605.27,7,-0.19000000000005457,0.11858424103657209,1,1,3,0
1786202280,R_100,605.28,8,-0.17000000000007276,0.14358891941156177,2,1,3,0
1786202302,R_100,605.6,0,-0.11000000000001364,0.1376630346574791,4,1,3,0
1786202316,R_100,605.9,0,-0.19000000000005457,0.1418919776919722,6,1,3,0
1786202350,R_100,606.29,9,-0.11000000000001364,0.11914510294409356,7,1,3,0
1786202352,R_100,606.17,7,-0.12000000000000455,0.10598217879541258,4,1,3,0
1786202356,R_100,605.83,3,-0.30999999999994543,0.13491149362121616,6,1,3,0
1786202360,R_100,605.37,7,-0.18999999999994088,0.1384838538522703,1,1,3,0
1786202398,R_100,605.88,8,-0.22000000000002728,0.12377847596054047,3,1,3,1
1786202400,R_100,605.63,3,-0.25,0.13524052647044865,5,1,3,0
1786202412,R_100,605.64,4,-0.12000000000000455,0.1175868473370497,8,1,3,0
1786202422,R_100,605.8,0,-0.19000000000005457,0.12376052143825929,1,1,3,0
1786202444,R_100,606.1,0,-0.14999999999997726,0.0893743686846496,2,1,3,0
1786202456,R_100,606.21,1,-0.14999999999997726,0.09652288157046805,0,1,3,0
1786202480,R_100,606.89,9,-0.21000000000003638,0.12999572642548923,9,1,3,0
1786202488,R_100,606.87,7,-0.2400000000000091,0.14399459866414122,9,1,3,0
1786202502,R_100,607.08,8,-0.12999999999999545,0.1426300576082695,9,1,3,0
1786202510,R_100,607.08,8,-0.14999999999997726,0.11948500603284402,3,1,3,1
1786202542,R_100,606.65,5,-0.14999999999997726,0.14033293744994726,4,1,3,0
1786202566,R_100,605.83,3,-0.12999999999999545,0.13639811012051264,3,1,3,1
1786202568,R_100,605.73,3,-0.10000000000002274,0.08543353491975803,0,1,3,0
1786202570,R_100,605.5,0,-0.2300000000000182,0.0973481723848212,2,1,3,0
1786202578,R_100,605.39,9,-0.21000000000003638,0.11803954139751316,5,1,3,0
1786202628,R_100,605.68,8,-0.14000000000010004,0.14353087163081238,1,1,3,0
1786202664,R_100,605.96,6,-0.11000000000001364,0.12576874722194686,1,1,3,0
1786202716,R_100,605.62,2,-0.13999999999998636,0.14001587211613556,0,1,3,0
1786202728,R_100,605.76,6,-0.12000000000000455,0.0897465567275322,3,1,3,1
1786202736,R_100,605.92,2,-0.19000000000005457,0.11450376024881026,9,1,3,0
1786202740,R_100,605.93,3,-0.16000000000008185,0.13750151514320724,7,1,3,0
1786202776,R_100,604.74,4,-0.2699999999999818,0.14356183336805736,0,1,3,0
1786202790,R_100,604.73,3,-0.10000000000002274,0.1074140483259862,1,1,3,0
1786202822,R_100,605.36,6,-0.17999999999994998,0.11849050594875798,1,1,3,0
1786202828,R_100,605.22,2,-0.10000000000002274,0.09859569519562726,9,1,3,0
1786202832,R_100,605.07,7,-0.12000000000000455,0.10415799963942947,1,1,3,0
1786202834,R_100,604.91,1,-0.16000000000008185,0.09924716620640094,2,1,3,0
1786202844,R_100,605.14,4,-0.13999999999998636,0.11274849099755346,0,1,3,0
1786202858,R_100,605.73,3,-0.12999999999999545,0.13236733400317027,8,1,3,0
