trigger_index,trigger_time,price,price_delta,volatility,prediction,actual_digit,correct
44,1786201288,604.89,-0.2300000000000182,0.14006347767272412,3,5,False
47,1786201294,604.79,-0.10000000000002274,0.1232702541392522,3,1,False
103,1786201406,606.93,-0.12000000000000455,0.10024414640709425,3,6,False
107,1786201414,606.83,-0.12999999999999545,0.06419588079551654,3,0,False
109,1786201418,606.74,-0.15999999999996817,0.07748835037889587,3,6,False
113,1786201426,606.74,-0.11000000000001364,0.09825703254446524,3,6,False
114,1786201428,606.46,-0.2799999999999727,0.12605113600791554,3,1,False
115,1786201430,606.31,-0.15000000000009095,0.12529520696694085,3,2,False
171,1786201542,606.96,-0.15999999999996817,0.13144073442681822,3,3,True
194,1786201588,608.0,-0.13999999999998636,0.08372574275572665,3,5,False
196,1786201592,608.04,-0.11000000000001364,0.09077444574327322,3,7,False
205,1786201610,608.73,-0.12999999999999545,0.14535779610635594,3,8,False
213,1786201626,608.93,-0.12999999999999545,0.11469767022723974,3,6,False
218,1786201636,609.3,-0.12000000000000455,0.11146000777557516,3,3,True
253,1786201706,610.21,-0.2899999999999636,0.1288797889507693,3,7,False
257,1786201714,610.01,-0.15999999999996817,0.11213087591439544,3,5,False
259,1786201718,609.92,-0.2300000000000182,0.13331666562485364,3,6,False
260,1786201720,609.76,-0.15999999999996817,0.1368697677842994,3,5,False
262,1786201724,609.6,-0.14999999999997726,0.1325812120089912,3,2,False
266,1786201732,609.75,-0.13999999999998636,0.14436065946093585,3,6,False
273,1786201746,610.11,-0.15999999999996817,0.12296792716440118,3,7,False
276,1786201752,610.11,-0.16999999999995907,0.12615686884015737,3,5,False
278,1786201756,609.81,-0.2400000000000091,0.1445337330867703,3,0,False
285,1786201770,609.29,-0.19000000000005457,0.13067772062086114,3,2,False
318,1786201836,609.86,-0.16999999999995907,0.11652848960184961,3,3,True
320,1786201840,609.81,-0.12000000000000455,0.12284136111260796,3,0,False
321,1786201842,609.7,-0.10999999999989996,0.12901765598378861,3,1,False
324,1786201848,609.69,-0.16999999999995907,0.13548267621931107,3,6,False
327,1786201854,609.66,-0.14999999999997726,0.11547486498989316,3,0,False
331,1786201862,609.4,-0.14999999999997726,0.10317191693691512,3,9,False
332,1786201864,609.19,-0.2099999999999227,0.10454132622500513,3,9,False
334,1786201868,609.23,-0.15999999999996817,0.1290305734656624,3,8,False
337,1786201874,609.21,-0.12999999999999545,0.1357489512952989,3,8,False
348,1786201896,609.16,-0.12999999999999545,0.11802071381280609,3,8,False
355,1786201910,608.83,-0.34999999999990905,0.13535549900575075,3,2,False
357,1786201914,608.75,-0.16999999999995907,0.14198591479433137,3,2,False
391,1786201982,608.27,-0.17000000000007276,0.1308136927933168,3,5,False
394,1786201988,607.87,-0.11000000000001364,0.12263767773405648,3,1,False
401,1786202002,608.0,-0.11000000000001364,0.12347289401144003,3,2,False
432,1786202064,608.91,-0.16000000000008185,0.11650464940650648,3,8,False
433,1786202066,608.78,-0.12999999999999545,0.12175111224679853,3,1,False
446,1786202092,608.26,-0.18000000000006366,0.10053191864610818,3,6,False
452,1786202104,608.11,-0.11000000000001364,0.07578478299326766,3,1,False
453,1786202106,607.91,-0.20000000000004547,0.0889506729723093,3,5,False
459,1786202118,608.16,-0.12000000000000455,0.12375603240069266,3,5,False
460,1786202120,608.05,-0.11000000000001364,0.12347289401144208,3,9,False
464,1786202128,608.35,-0.12999999999999545,0.1347425528760575,3,5,False
479,1786202158,607.84,-0.12999999999999545,0.1422087667246312,3,9,False
495,1786202190,606.91,-0.12000000000000455,0.1279279311001209,3,7,False
502,1786202204,607.15,-0.18000000000006366,0.10254538290707886,3,3,True
503,1786202206,606.83,-0.31999999999993634,0.143561833368061,3,7,False
507,1786202214,606.18,-0.2300000000000182,0.14448760039071654,3,1,False
510,1786202220,605.46,-0.2300000000000182,0.1363166248930147,3,9,False
536,1786202272,605.27,-0.19000000000005457,0.11858424103657209,3,1,False
540,1786202280,605.28,-0.17000000000007276,0.14358891941156177,3,2,False
551,1786202302,605.6,-0.11000000000001364,0.1376630346574791,3,4,False
558,1786202316,605.9,-0.19000000000005457,0.1418919776919722,3,6,False
575,1786202350,606.29,-0.11000000000001364,0.11914510294409356,3,7,False
576,1786202352,606.17,-0.12000000000000455,0.10598217879541258,3,4,False
578,1786202356,605.83,-0.30999999999994543,0.13491149362121616,3,6,False
580,1786202360,605.37,-0.18999999999994088,0.1384838538522703,3,1,False
599,1786202398,605.88,-0.22000000000002728,0.12377847596054047,3,3,True
600,1786202400,605.63,-0.25,0.13524052647044865,3,5,False
606,1786202412,605.64,-0.12000000000000455,0.1175868473370497,3,8,False
611,1786202422,605.8,-0.19000000000005457,0.12376052143825929,3,1,False
622,1786202444,606.1,-0.14999999999997726,0.0893743686846496,3,2,False
628,1786202456,606.21,-0.14999999999997726,0.09652288157046805,3,0,False
640,1786202480,606.89,-0.21000000000003638,0.12999572642548923,3,9,False
644,1786202488,606.87,-0.2400000000000091,0.14399459866414122,3,9,False
651,1786202502,607.08,-0.12999999999999545,0.1426300576082695,3,9,False
655,1786202510,607.08,-0.14999999999997726,0.11948500603284402,3,3,True
671,1786202542,606.65,-0.14999999999997726,0.14033293744994726,3,4,False
683,1786202566,605.83,-0.12999999999999545,0.13639811012051264,3,3,True
684,1786202568,605.73,-0.10000000000002274,0.08543353491975803,3,0,False
685,1786202570,605.5,-0.2300000000000182,0.0973481723848212,3,2,False
689,1786202578,605.39,-0.21000000000003638,0.11803954139751316,3,5,False
714,1786202628,605.68,-0.14000000000010004,0.14353087163081238,3,1,False
732,1786202664,605.96,-0.11000000000001364,0.12576874722194686,3,1,False
758,1786202716,605.62,-0.13999999999998636,0.14001587211613556,3,0,False
764,1786202728,605.76,-0.12000000000000455,0.0897465567275322,3,3,True
768,1786202736,605.92,-0.19000000000005457,0.11450376024881026,3,9,False
770,1786202740,605.93,-0.16000000000008185,0.13750151514320724,3,7,False
788,1786202776,604.74,-0.2699999999999818,0.14356183336805736,3,0,False
795,1786202790,604.73,-0.10000000000002274,0.1074140483259862,3,1,False
811,1786202822,605.36,-0.17999999999994998,0.11849050594875798,3,1,False
814,1786202828,605.22,-0.10000000000002274,0.09859569519562726,3,9,False
816,1786202832,605.07,-0.12000000000000455,0.10415799963942947,3,1,False
817,1786202834,604.91,-0.16000000000008185,0.09924716620640094,3,2,False
822,1786202844,605.14,-0.13999999999998636,0.11274849099755346,3,0,False
829,1786202858,605.73,-0.12999999999999545,0.13236733400317027,3,8,False
835,1786202870,606.05,-0.11000000000001364,0.1214221286806378,3,3,True
838,1786202876,605.92,-0.13999999999998636,0.1293745638747446,3,4,False
843,1786202886,605.19,-0.2299999999999045,0.1181383369895839,3,8,False
848,1786202896,605.02,-0.19000000000005457,0.1351542328847471,3,7,False
849,1786202898,604.87,-0.14999999999997726,0.13638589043998792,3,6,False
850,1786202900,604.66,-0.21000000000003638,0.11264990013309839,3,1,False
884,1786202968,605.26,-0.12999999999999545,0.12979042936809396,3,0,False
886,1786202972,605.1,-0.10000000000002274,0.12249263016379362,3,2,False
898,1786202996,605.48,-0.10000000000002274,0.08994442728707736,3,6,False
899,1786202998,605.36,-0.12000000000000455,0.10178408520000078,3,7,False
901,1786203002,605.16,-0.11000000000001364,0.07242620765687778,3,2,False
903,1786203006,605.0,-0.12000000000000455,0.07334090869965552,3,5,False
904,1786203008,604.85,-0.14999999999997726,0.07242620765686922,3,9,False
906,1786203012,604.58,-0.30999999999994543,0.097273954490507,3,3,True
908,1786203016,604.33,-0.1999999999999318,0.09489760563654838,3,7,False
910,1786203020,603.9,-0.37000000000000455,0.12631970023183497,3,4,False
915,1786203030,603.48,-0.12000000000000455,0.1442567156148923,3,8,False
916,1786203032,603.28,-0.20000000000004547,0.1337493509849211,3,0,False
920,1786203040,602.97,-0.17999999999994998,0.13191327117130114,3,9,False
931,1786203062,603.36,-0.17999999999994998,0.12649549838276725,3,2,False
955,1786203110,603.27,-0.14999999999997726,0.06928203230275545,3,1,False
959,1786203118,603.01,-0.25,0.0994652368083109,3,2,False
969,1786203138,603.47,-0.13999999999998636,0.11087530533592711,3,9,False
970,1786203140,603.29,-0.18000000000006366,0.12875903420301568,3,3,True
972,1786203144,603.08,-0.14999999999997726,0.13737620689997632,3,1,False
1023,1786203246,605.38,-0.10000000000002274,0.0984829370443884,3,7,False
1032,1786203264,605.71,-0.13999999999998636,0.14353087163085188,3,6,False
1057,1786203314,605.38,-0.13999999999998636,0.1003549256943021,3,9,False
1063,1786203326,605.59,-0.18999999999994088,0.1375378735718357,3,5,False
1067,1786203334,605.47,-0.10000000000002274,0.1448715906510768,3,2,False
1069,1786203338,605.22,-0.1999999999999318,0.13424687043731834,3,3,True
1088,1786203376,605.72,-0.14999999999997726,0.1319932658214844,3,0,False
1089,1786203378,605.6,-0.12000000000000455,0.11881357947080451,3,3,True
1095,1786203390,605.32,-0.18999999999994088,0.11939197814108074,3,2,False
1096,1786203392,605.12,-0.20000000000004547,0.12615686884015714,3,3,True
1097,1786203394,604.83,-0.2899999999999636,0.14206414826485156,3,2,False
1113,1786203426,604.62,-0.13999999999998636,0.12865112168616993,3,4,False
