time,symbol,price,Last digit
1786201200,R_100,603.53,3
1786201202,R_100,603.46,6
1786201204,R_100,603.56,6
1786201206,R_100,603.37,7
1786201208,R_100,603.5,0
1786201210,R_100,603.59,9
1786201212,R_100,603.62,2
1786201214,R_100,603.56,6
1786201216,R_100,603.58,8
1786201218,R_100,603.68,8
1786201220,R_100,603.96,6
1786201222,R_100,604.02,2
1786201224,R_100,604.36,6
1786201226,R_100,604.53,3
1786201228,R_100,604.94,4
1786201230,R_100,604.83,3
1786201232,R_100,604.85,5
1786201234,R_100,604.82,2
1786201236,R_100,604.67,7
1786201238,R_100,604.33,3
1786201240,R_100,604.31,1
1786201242,R_100,604.45,5
1786201244,R_100,604.13,3
1786201246,R_100,604.37,7
1786201248,R_100,604.41,1
1786201250,R_100,604.38,8
1786201252,R_100,604.63,3
1786201254,R_100,604.78,8
1786201256,R_100,605.1,0
1786201258,R_100,605.17,7
1786201260,R_100,605.13,3
1786201262,R_100,605.32,2
1786201264,R_100,605.12,2
1786201266,R_100,605.55,5
1786201268,R_100,605.61,1
1786201270,R_100,605.37,7
1786201272,R_100,605.2,0
1786201274,R_100,605.11,1
1786201276,R_100,605.05,5
1786201278,R_100,604.97,7
1786201280,R_100,604.89,9
1786201282,R_100,604.85,5
1786201284,R_100,604.87,7
1786201286,R_100,605.12,2
1786201288,R_100,604.89,9
1786201290,R_100,604.85,5
1786201292,R_100,604.89,9
1786201294,R_100,604.79,9
1786201296,R_100,604.51,1
1786201298,R_100,604.85,5
1786201300,R_100,604.78,8
1786201302,R_100,604.6,0
1786201304,R_100,604.82,2
1786201306,R_100,604.84,4
1786201308,R_100,604.98,8
1786201310,R_100,605.08,8
1786201312,R_100,605.18,8
1786201314,R_100,604.98,8
1786201316,R_100,605.02,2
1786201318,R_100,605.44,4
1786201320,R_100,605.41,1
1786201322,R_100,605.18,8
1786201324,R_100,605.21,1
1786201326,R_100,605.34,4
1786201328,R_100,605.5,0
1786201330,R_100,605.54,4
1786201332,R_100,605.55,5
1786201334,R_100,605.47,7
1786201336,R_100,605.69,9
1786201338,R_100,605.88,8
1786201340,R_100,606.02,2
1786201342,R_100,606.0,0
1786201344,R_100,606.09,9
1786201346,R_100,606.12,2
1786201348,R_100,606.24,4
1786201350,R_100,605.9,0
1786201352,R_100,606.07,7
1786201354,R_100,606.31,1
1786201356,R_100,606.37,7
1786201358,R_100,606.42,2
1786201360,R_100,606.37,7
1786201362,R_100,606.5,0
1786201364,R_100,606.41,1
1786201366,R_100,606.39,9
1786201368,R_100,606.53,3
1786201370,R_100,606.51,1
1786201372,R_100,606.79,9
1786201374,R_100,606.79,9
1786201376,R_100,606.75,5
1786201378,R_100,606.73,3
1786201380,R_100,606.74,4
1786201382,R_100,606.78,8
1786201384,R_100,606.73,3
1786201386,R_100,606.69,9
1786201388,R_100,606.9,0
1786201390,R_100,607.04,4
1786201392,R_100,607.12,2
1786201394,R_100,607.14,4
1786201396,R_100,607.18,8
