delta_threshold,volatility_threshold,observations,correct,probability,difference,p_value
-0.05,0.1,1111,117,0.10531053105310531,0.005310531053105305,0.29135423583830133
-0.05,0.12,3209,333,0.1037706450607666,0.0037706450607665892,0.24611450437876733
-0.05,0.145358,7617,798,0.10476565576998818,0.004765655769988178,0.08643640137864009
-0.05,0.17,11857,1198,0.10103736189592645,0.0010373618959264447,0.3576435963805425
-0.05,0.2,14965,1495,0.09989976612094888,-0.00010023387905112868,0.5202866659137175
-0.075,0.1,807,85,0.10532837670384139,0.005328376703841384,0.3233485129124319
-0.075,0.12,2494,262,0.10505212510024058,0.00505212510024057,0.20875034852843102
-0.075,0.145358,6173,663,0.10740320751660457,0.00740320751660456,0.028516781749428805
-0.075,0.17,9845,1004,0.10198070086338243,0.001980700863382423,0.260777136607649
-0.075,0.2,12588,1271,0.1009691769939625,0.0009691769939624978,0.3627632500818053
-0.1,0.1,596,64,0.10738255033557047,0.007382550335570462,0.2927128700760256
-0.1,0.12,1922,209,0.10874089490114464,0.00874089490114463,0.1085490051297849
-0.1,0.145358,4972,542,0.1090104585679807,0.00901045856798069,0.019050907530649346
-0.1,0.17,8137,841,0.10335504485682684,0.003355044856826833,0.16097398613428
-0.1,0.2,10563,1075,0.10177033039856101,0.0017703303985610042,0.2765599362256452
-0.125,0.1,357,37,0.10364145658263306,0.003641456582633054,0.4348003543823991
-0.125,0.12,1300,130,0.1,0.0,0.5135225183836261
-0.125,0.145358,3600,387,0.1075,0.007499999999999993,0.0716028313580941
-0.125,0.17,6114,628,0.10271508014393196,0.0027150801439319583,0.24530132934242882
-0.125,0.2,8163,824,0.10094328065662134,0.0009432806566213314,0.3935029300503753
-0.15,0.1,198,22,0.1111111111111111,0.0111111111111111,0.3339658433172684
-0.15,0.12,800,78,0.0975,-0.0025000000000000022,0.6103248874962168
-0.15,0.145358,2445,261,0.1067484662576687,0.0067484662576687005,0.140673489718422
-0.15,0.17,4411,452,0.10247109498979823,0.0024710949897982226,0.2991580285804695
-0.15,0.2,6109,616,0.10083483385169423,0.0008348338516942222,0.4200994973374704
-0.2,0.1,70,7,0.1,0.0,0.558190242770352
-0.2,0.12,323,29,0.08978328173374613,-0.01021671826625388,0.7556114549692454
-0.2,0.145358,1201,126,0.10491257285595337,0.004912572855953368,0.2984987371056308
-0.2,0.17,2425,233,0.09608247422680412,-0.003917525773195887,0.7492075588128398
-0.2,0.2,3573,346,0.096837391547719,-0.0031626084522810016,0.7433808245507757
